Share Price (p),Avg Vol,EPS(Current),P/E,MktCap,Dividend,Yield,Alpha,Beta,Employees,EPS(2016),EPS(2017),Net Revenue(2016),Net Revenue(2017),Net Profit(2016),Net Profit(2017),predictsharepriceback,backward,forward
1,623.25,3651053,23.9,26.49,3.808,13.5,2.13,0.0034,1.56,858,16.7,18.9,241,241,102,116,572.7658526,597.6643781
2,885.5,2943819,68,12.97,4.132,39.9,4.52,-7.00E-04,0.96,6262,68,57,1276,1341,340,287,1028.13486,1055.313944
3,541.5,1433531,33.1,16.37,1.897,15.3,2.82,7.00E-04,0.76,29854,22.1,30.1,7314,8023.5,108.8,96,536.9879828,527.5850199
4,391.25,8856885,31.6,12.34,4.33,14,3.59,-5.00E-04,0.82,10940,36.8,32.6,2879,3334,392,344,402.0115691,402.2347232
5,733.5,7059460,26.1,28.22,5.179,7.8,1.06,0.0063,0.87,10051,33.9,17.6,1515.2,1537.7,178.7,215,544.6880711,537.0800635
6,458,8706702,2.1,216.67,3.644,11.5,2.53,0.0048,1.95,7581,27.5,19.2,1620,1345.3,16.89,155,464.5936924,534.719141
7,542,2009904,40.8,13.28,4.291,13.25,2.44,-0.0019,0.7,34957,40.8,30.8,4438,4545,322,243,526.278112,528.2827826
8,630.5,13799568,9.9,63.54,12.214,6,0.95,4.00E-04,0.8,9132,-73,-29.2,2306,2776,-1383,-538.6,506.9259103,485.0012465
9,474.5,6288781,35.3,13.35,5.076,19,4.03,-0.0038,0.53,11905,15.6,37.7,2226,1987,165,398,489.8598247,473.5923202
10,488.5,33593190,33.7,14.7,31.999,18.35,3.7,8.00E-04,1.56,74700,33.7,148.2,11325,11327,2230,2465,513.0287245,572.5520872
11,274.75,13893346,11.6,23.45,9.698,3.1,1.14,8.00E-04,0.55,4606,11.6,16.7,2672,2610,410,586,399.5256089,359.8586431
12,883,3233978,41.36,21.01,4.394,38,4.37,-0.002,1.15,46280,41.36,51.81,3773,3657.7,202.9,252,992.5716801,990.945846
